technician_id,region_code,active,policy_mode,effective_from,effective_to
AI102448,atlanta_manual_west,true,,,
AI102087,atlanta_manual_west,true,,,
AI105116,atlanta_manual_west,true,,,
AI103146,atlanta_manual_east,true,,,
AI102608,atlanta_manual_west,true,,,
AI102977,atlanta_manual_west,true,,,
AI103128,atlanta_manual_east,true,,,
AI103261,atlanta_manual_south,true,,,
AI103317,atlanta_manual_south,true,,,
AI005576,atlanta_manual_south,true,,,
AI103264,atlanta_manual_east,true,,,
AI102961,atlanta_manual_east,true,,,
AI102315,atlanta_manual_east,true,,,
AI105115,atlanta_manual_south,true,,,
