city,service_date_key,route_group_id,route_bucket,input_row_count,service_count,unique_service_stop_count,route_coordinate_count,home_found,start_policy,end_policy,backend,endpoint_id,profile,cache_identity,status,failure_reason,distance_km,duration_min,cache_hit,request_attempts,request_elapsed_ms
"Atlanta, GA",2026-06-01,1b34ed7c5771d3dd3976518f781982177e93a6167524e44ec2061117e4f3b99d,DMS,3,3,3,4,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,2ba38fe8ff5b0418706b195f3a6ff9e862e59a5348a47e2c5c7d03f945e56956,success,,58.5485,63.43666666666666,False,2.0,401.37390000745654
"Atlanta, GA",2026-06-01,4f5832d4db11fb19ba6ae14e9f1071fd010affb70a4c352ae8eb57e180e11f8b,DMS,5,5,5,6,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,239940a1592fc29ac8eb4617650d137b50c63e0c8cae3239cd993128cbc2a3d5,success,,71.28110000000001,86.89333333333335,False,2.0,408.4748000022955
"Atlanta, GA",2026-06-01,626d8987a43fd1e246efb8eaa2d5b4b5db1ac186a4293183552d726c8d11cd1b,DMS,4,4,4,5,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,73e8a736e6911808f2e6c97843a92f3c89805a96da7db9a20cd77f6d644e51ee,success,,74.851,85.71833333333333,False,2.0,421.40849999850616
"Atlanta, GA",2026-06-01,69dea0287d030016ba6800a9c132745a65930b72589e297ce7c244205eb117f4,DMS,5,5,5,6,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,1027af6ecd8da7f7c9f4efea0f053bdbf5843b698aa4a181475d227b53697594,success,,145.6128,144.05833333333334,False,2.0,848.648500017589
"Atlanta, GA",2026-06-01,6b3a338b678c90a0c2d8b821543d0f8b4be1ff27251729b1a59f22d7c6a17d0d,DMS2,1,1,1,1,False,nearest_neighbor_best_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,ffbf1b7236d3f84bcca3278c195589c0610f9259be6a7d3c38e5f9581e3e4b5f,success,,0.0,0.0,False,0.0,0.0
"Atlanta, GA",2026-06-01,9cc875cb443036d8a6a43590e558fe38ca302933ab21c92344377512bf697e8e,DMS,3,3,3,4,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,e946d13d5f50636948a580a808c5c0c85ac625de7d45a19c8964bfdac4182648,success,,114.8135,113.235,False,2.0,868.0160000221804
"Atlanta, GA",2026-06-01,9ef0ecd8b859edd19d2b74563c7c2b8bff8114520fa25bccb73f11b16a9d90b0,DMS,4,4,4,5,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,3769719e21b24a2a553e2c27d5746a39e5cc291ba7c2a90167ded7d9e1cc6cc9,success,,259.6245,245.535,False,2.0,599.1697999997996
"Atlanta, GA",2026-06-01,bb12c4e2d11557fc24e40d68c87fc4789e2512fdc722035667dcbd95a0639043,DMS,3,3,3,4,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,5e90f11a382902c9e1d30d721d89c3cf09c534f6bddaceb16b6b0d1a0f7b057f,success,,53.204699999999995,69.86333333333333,False,2.0,421.2575000419747
"Atlanta, GA",2026-06-01,caecf941dd0b74bda0ed49a3d5d3c6b5442e418cb74909a527b06c1807e2730c,DMS,2,2,2,3,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,e3f4521872bb07ba460219cd87e70231e587d4ec2aea9744a40718b14c461bc9,success,,131.6685,113.64666666666668,False,2.0,412.2483000101056
"Atlanta, GA",2026-06-01,cf645d9b89621e20745fee09100d9a0cdcf1f1b4c1949efed85726df67def210,DMS,2,2,2,3,True,home_fixed_start,last_service_stop_no_home_return,osrm_road_network,atlanta_ga,driving,c9f6d1851ea38873a0c7ea3024787f74e9b73570f7f49a8282e1a05db7d69ec3,success,,71.8714,71.66166666666666,False,2.0,866.7314000194892
