region_code,region_name,region_seq,postal_code,area_type,required_center_type,membership_rank,is_primary,overflow_allowed,overflow_penalty_minutes,overflow_reason
los_angeles_ca_r01,Region 1,1,90001,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90002,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90003,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90004,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90005,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90006,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90007,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90008,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90010,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90011,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90012,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90015,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90016,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90018,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90019,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90020,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90021,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90022,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90023,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90024,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90025,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90026,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90027,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90028,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90029,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90031,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90032,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90033,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90034,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90035,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90036,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90037,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90038,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90039,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90040,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90041,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90042,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90043,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90044,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90045,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90046,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90047,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90048,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90049,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90056,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90057,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90058,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90059,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90061,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90062,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90063,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90064,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90065,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90066,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90067,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90068,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90069,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90077,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90201,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90210,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90211,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90212,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90220,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90221,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90222,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90230,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90232,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90245,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90247,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90248,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90249,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90250,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90254,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90255,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90260,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90262,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90266,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90270,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90274,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90275,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90277,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90278,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90280,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90291,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90292,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90293,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90301,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90302,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90303,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90304,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90305,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90401,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90402,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90403,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90404,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90405,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90501,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90502,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90503,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90504,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90505,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90710,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90717,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90731,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90732,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90744,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90745,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90746,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,90810,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91001,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91011,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91020,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91030,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91042,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91101,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91103,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91104,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91105,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91106,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91107,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91108,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91201,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91202,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91205,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91206,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91207,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91208,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91214,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91423,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91501,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91502,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91504,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91505,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91506,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91601,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91602,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91604,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91606,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91607,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91754,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91755,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91801,,,1,true,false,,
los_angeles_ca_r01,Region 1,1,91803,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92028,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92223,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92320,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92399,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92530,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92532,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92543,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92544,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92545,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92548,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92551,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92553,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92555,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92562,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92563,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92567,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92570,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92571,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92582,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92583,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92584,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92585,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92586,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92587,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92590,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92591,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92592,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92595,,,1,true,false,,
los_angeles_ca_r02,Region 2,2,92596,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,90265,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91040,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91303,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91304,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91306,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91307,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91311,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91316,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91324,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91325,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91326,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91331,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91335,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91340,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91342,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91343,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91344,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91345,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91352,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91356,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91360,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91362,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91364,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91367,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91377,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91381,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91401,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91402,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91403,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91405,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91406,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91411,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91436,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,91605,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,93015,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,93021,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,93023,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,93060,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,93063,,,1,true,false,,
los_angeles_ca_r03,Region 3,3,93065,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91701,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91708,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91709,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91710,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91711,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91730,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91737,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91739,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91750,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91752,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91761,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91762,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91763,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91764,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91766,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91767,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91784,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,91786,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92313,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92316,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92324,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92325,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92335,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92336,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92337,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92346,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92354,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92359,,,1,true,false,,
los_angeles_ca_r04,Region 4,4,92373,,,1,true,false,,
