technician_id,region_code,active,policy_mode,effective_from,effective_to
AI005576,atlanta_ga_r01,true,assigned_region_boundary_spillover,,
AI102087,atlanta_ga_r01,true,assigned_region_boundary_spillover,,
AI102608,atlanta_ga_r01,true,assigned_region_boundary_spillover,,
AI102961,atlanta_ga_r01,true,assigned_region_boundary_spillover,,
AI102977,atlanta_ga_r01,true,assigned_region_boundary_spillover,,
AI102315,atlanta_ga_r02,true,assigned_region_boundary_spillover,,
AI102933,atlanta_ga_r02,true,assigned_region_boundary_spillover,,
AI103128,atlanta_ga_r02,true,assigned_region_boundary_spillover,,
AI103146,atlanta_ga_r02,true,assigned_region_boundary_spillover,,
AI103264,atlanta_ga_r02,true,assigned_region_boundary_spillover,,
AI103317,atlanta_ga_r02,true,assigned_region_boundary_spillover,,
AI102448,atlanta_ga_r03,true,assigned_region_boundary_spillover,,
AI103261,atlanta_ga_r03,true,assigned_region_boundary_spillover,,
AI105115,atlanta_ga_r03,true,assigned_region_boundary_spillover,,
AI105116,atlanta_ga_r03,true,assigned_region_boundary_spillover,,
