region_code,region_name,region_seq,postal_code,area_type,required_center_type,membership_rank,is_primary,overflow_allowed,overflow_penalty_minutes,overflow_reason
atlanta_ga_r03,Region 3,3,30002,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30004,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30005,,,1,true,false,,
atlanta_ga_r02,Region 2,2,30008,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30009,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30011,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30012,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30013,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30014,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30016,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30017,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30019,,,1,true,false,,
atlanta_ga_r02,Region 2,2,30021,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30022,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30024,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30025,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30028,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30030,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30032,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30033,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30034,,,1,true,false,,
atlanta_ga_r02,Region 2,2,30035,,,1,true,false,,
atlanta_ga_r03,Region 3,3,30038,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30039,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30040,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30041,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30043,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30044,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30045,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30046,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30047,,,1,true,false,,
atlanta_ga_r01,Region 1,1,30052,,,1,true,false,,
