technician_id,region_code,active,policy_mode,effective_from,effective_to
AI102448,atlanta_manual_west,true,home_distance_only,,
AI102087,atlanta_manual_west,true,home_distance_only,,
AI105116,atlanta_manual_west,true,home_distance_only,,
AI103146,atlanta_manual_east,true,home_distance_only,,
AI102608,atlanta_manual_west,true,home_distance_only,,
AI102977,atlanta_manual_west,true,home_distance_only,,
AI103128,atlanta_manual_east,true,home_distance_only,,
AI103261,atlanta_manual_south,true,home_distance_only,,
AI103317,atlanta_manual_south,true,home_distance_only,,
AI005576,atlanta_manual_south,true,home_distance_only,,
AI103264,atlanta_manual_east,true,home_distance_only,,
AI102961,atlanta_manual_east,true,home_distance_only,,
AI102315,atlanta_manual_east,true,home_distance_only,,
AI105115,atlanta_manual_south,true,home_distance_only,,
